action: 70 ok, 0 skipped
adventure: 21 ok, 0 skipped
adversity: 163 ok, 0 skipped
safari-unhand-your-pearls: 59 ok, 0 skipped
advice: 28 ok, 0 skipped
afternoon: 100 ok, 1 skipped
age: 305 ok, 2 skipped
ages-00-29: 39 ok, 2 skipped
ages-30-39: 19 ok, 1 skipped
ages-40-49: 90 ok, 1 skipped
ages-50-59: 25 ok, 1 skipped
ages-60-69: 17 ok, 1 skipped
ages-70-100plus: 27 ok, 1 skipped
alcohol: 123 ok, 1 skipped
america: 111 ok, 0 skipped
angels: 78 ok, 0 skipped
anger: 52 ok, 0 skipped
animals: 51 ok, 1 skipped
animal-rights: 43 ok, 0 skipped
apology: 13 ok, 0 skipped
appearance: 29 ok, 0 skipped
april: 29 ok, 0 skipped
arizona: 166 ok, 2 skipped
art: 106 ok, 0 skipped
artificial-intelligence: 47 ok, 1 skipped
astrology: 61 ok, 1 skipped
attitude: 211 ok, 0 skipped
august: 21 ok, 1 skipped
autumn: 178 ok, 1 skipped
babies: 32 ok, 0 skipped
bad-breath: 14 ok, 0 skipped
badminton: 16 ok, 0 skipped
baseball: 17 ok, 0 skipped
bats: 27 ok, 1 skipped
hair-beards: 53 ok, 2 skipped
beauty: 81 ok, 0 skipped
beer: 41 ok, 1 skipped
bees: 44 ok, 0 skipped
belief: 70 ok, 0 skipped
be-self: 47 ok, 0 skipped
bicycling: 25 ok, 0 skipped
birds: 124 ok, 1 skipped
color-blue: 13 ok, 2 skipped
body: 176 ok, 0 skipped
boldness: 14 ok, 0 skipped
books: 227 ok, 1 skipped
books-smell: 11 ok, 1 skipped
bookworms-insects: 9 ok, 1 skipped
bookworms-readers: 14 ok, 1 skipped
boredom: 15 ok, 0 skipped
bores: 29 ok, 0 skipped
bread-grains-potatoes-starches: 14 ok, 0 skipped
breakfast: 39 ok, 0 skipped
breastfeeding: 30 ok, 0 skipped
breathing: 39 ok, 0 skipped
brevity: 24 ok, 0 skipped
sisters-brothers: 21 ok, 0 skipped
color-brown: 12 ok, 2 skipped
burping-belching: 25 ok, 0 skipped
business: 39 ok, 0 skipped
butterflies: 31 ok, 0 skipped
camping: 17 ok, 0 skipped
candy: 25 ok, 0 skipped
carpe-diem: 65 ok, 0 skipped
cats: 71 ok, 0 skipped
censorship: 53 ok, 0 skipped
change: 56 ok, 0 skipped
charm: 14 ok, 0 skipped
childhood: 41 ok, 0 skipped
children: 37 ok, 0 skipped
chocolate: 25 ok, 0 skipped
cinema-acting: 23 ok, 0 skipped
cities: 38 ok, 0 skipped
civil-disobedience: 17 ok, 0 skipped
civilization: 46 ok, 0 skipped
clothing: 61 ok, 0 skipped
clouds: 90 ok, 0 skipped
clutter-declutter: 48 ok, 0 skipped
coffee: 55 ok, 0 skipped
college: 24 ok, 0 skipped
colors: 39 ok, 1 skipped
commonplace-books: 23 ok, 0 skipped
common-sense: 25 ok, 0 skipped
community: 20 ok, 0 skipped
complaining: 17 ok, 0 skipped
compliments: 32 ok, 0 skipped
condiments-ingredients: 24 ok, 0 skipped
confidence: 43 ok, 0 skipped
conformity: 48 ok, 0 skipped
consumerism: 13 ok, 0 skipped
cooking-baking-grilling: 23 ok, 0 skipped
country: 24 ok, 0 skipped
courage: 45 ok, 0 skipped
crayons-coloring: 15 ok, 1 skipped
criticism: 75 ok, 0 skipped
crying: 49 ok, 0 skipped
curiosity: 11 ok, 0 skipped
curmudgeonesque: 68 ok, 0 skipped
dairy-eggs: 24 ok, 0 skipped
dancing: 44 ok, 0 skipped
daughters: 8 ok, 0 skipped
daydream: 35 ok, 0 skipped
days-of-week: 72 ok, 8 skipped
death: 224 ok, 0 skipped
debt: 24 ok, 0 skipped
december: 24 ok, 1 skipped
decisions: 24 ok, 0 skipped
dental: 52 ok, 1 skipped
deserts: 63 ok, 1 skipped
desserts: 41 ok, 1 skipped
dieting: 31 ok, 1 skipped
dogs: 41 ok, 0 skipped
donuts: 14 ok, 0 skipped
dragonflies: 11 ok, 0 skipped
dreams: 51 ok, 0 skipped
driving: 67 ok, 0 skipped
drugs: 16 ok, 0 skipped
dry-eyes: 23 ok, 1 skipped
eating: 113 ok, 0 skipped
education: 39 ok, 0 skipped
effort: 54 ok, 0 skipped
electric-vehicles: 14 ok, 2 skipped
emotions: 185 ok, 0 skipped
environment: 77 ok, 1 skipped
equality: 24 ok, 0 skipped
exaggeration: 21 ok, 0 skipped
excuses: 36 ok, 0 skipped
exercise: 50 ok, 0 skipped
experience: 44 ok, 0 skipped
faces: 40 ok, 0 skipped
fairies: 24 ok, 0 skipped
